         6205180 function calls (6143189 primitive calls) in 2618.830 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:177(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:18(Node)
       52    0.000    0.000    0.001    0.000 __init__.py:180(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:181(LegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:183(AbstractMethodError)
      384    0.000    0.000    0.002    0.000 __init__.py:183(_migrate)
        1    0.000    0.000    0.000    0.000 __init__.py:183(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:186(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1868(FileMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:187(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:1877(CallWrapper)
       33    0.000    0.000    0.000    0.000 __init__.py:1879(_str_equal)
        2    0.000    0.000    0.000    0.000 __init__.py:1880(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1886(has_metadata)
        2    0.000    0.000    0.000    0.000 __init__.py:1889(get_metadata)
       32    0.000    0.000    0.000    0.000 __init__.py:1890(_str_lower_equal)
        2    0.000    0.000    0.000    0.000 __init__.py:1898(_warn_on_replacement)
        1    0.000    0.000    0.000    0.000 __init__.py:1899(XView)
        1    0.000    0.000    0.011    0.011 __init__.py:19(<module>)
       12    0.000    0.000    0.001    0.000 __init__.py:1901(_define_aliases)
        2    0.000    0.000    0.000    0.000 __init__.py:1905(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:1909(PathMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:191(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1920(YView)
       82    0.000    0.000    0.000    0.000 __init__.py:1922(make_alias)
      530    0.000    0.000    0.000    0.000 __init__.py:1929(__init__)
       53    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1934(EggMetadata)
        2    0.000    0.000    0.000    0.000 __init__.py:194(__getattr__)
       14    0.000    0.000    0.000    0.000 __init__.py:194(warn_external)
        1    0.000    0.000    0.000    0.000 __init__.py:1941(Wm)
